allele_id,allele_name,allele_type,allele_description,dna_changes,aa_changes
S000004472-KanMX,rad33,Disruption marked with KanMX,NA,NA,NA
S000004471-KanMX,yml009w-b,Disruption marked with KanMX,NA,NA,NA
S000004468-KanMX,mrpl39,Disruption marked with KanMX,NA,NA,NA
S000004467-KanMX,erg6,Disruption marked with KanMX,NA,NA,NA
S000004466-KanMX,yap1,Disruption marked with KanMX,NA,NA,NA
S000004465-KanMX,gis4,Disruption marked with KanMX,NA,NA,NA
S000004464-KanMX,trm12,Disruption marked with KanMX,NA,NA,NA
S000004463-KanMX,glo1,Disruption marked with KanMX,NA,NA,NA
S000004462-KanMX,yml003w,Disruption marked with KanMX,NA,NA,NA
S000004461-KanMX,yml002w,Disruption marked with KanMX,NA,NA,NA
S000004460-KanMX,ypt7,Disruption marked with KanMX,NA,NA,NA
S000004604-KanMX,mix17,Disruption marked with KanMX,NA,NA,NA
S000004605-KanMX,aim34,Disruption marked with KanMX,NA,NA,NA
S000004608-KanMX,plb2,Disruption marked with KanMX,NA,NA,NA
S000004609-KanMX,ymr007w,Disruption marked with KanMX,NA,NA,NA
S000004610-KanMX,plb1,Disruption marked with KanMX,NA,NA,NA
S000004611-KanMX,adi1,Disruption marked with KanMX,NA,NA,NA
S000004612-KanMX,ymr010w,Disruption marked with KanMX,NA,NA,NA
S000004613-KanMX,hxt2,Disruption marked with KanMX,NA,NA,NA
S000004614-KanMX,clu1,Disruption marked with KanMX,NA,NA,NA
S000004616-KanMX,bud22,Disruption marked with KanMX,NA,NA,NA
S000004617-KanMX,erg5,Disruption marked with KanMX,NA,NA,NA
S000004618-KanMX,sok2,Disruption marked with KanMX,NA,NA,NA
S000004619-KanMX,spo20,Disruption marked with KanMX,NA,NA,NA
S000004620-KanMX,ymr018w,Disruption marked with KanMX,NA,NA,NA
S000004621-KanMX,stb4,Disruption marked with KanMX,NA,NA,NA
S000004622-KanMX,fms1,Disruption marked with KanMX,NA,NA,NA
S000004623-KanMX,mac1,Disruption marked with KanMX,NA,NA,NA
S000004624-KanMX,ubc7,Disruption marked with KanMX,NA,NA,NA
S000004625-KanMX,mss1,Disruption marked with KanMX,NA,NA,NA
S000004626-KanMX,mrpl3,Disruption marked with KanMX,NA,NA,NA
S000004627-KanMX,csi1,Disruption marked with KanMX,NA,NA,NA
S000004628-KanMX,pex12,Disruption marked with KanMX,NA,NA,NA
S000004629-KanMX,ymr027w,Disruption marked with KanMX,NA,NA,NA
S000004631-KanMX,far8,Disruption marked with KanMX,NA,NA,NA
S000004632-KanMX,rsf1,Disruption marked with KanMX,NA,NA,NA
S000004634-KanMX,ymr031w-a,Disruption marked with KanMX,NA,NA,NA
S000004633-KanMX,eis1,Disruption marked with KanMX,NA,NA,NA
S000004635-KanMX,hof1,Disruption marked with KanMX,NA,NA,NA
S000004637-KanMX,ymr034c,Disruption marked with KanMX,NA,NA,NA
S000004638-KanMX,imp2,Disruption marked with KanMX,NA,NA,NA
S000004639-KanMX,mih1,Disruption marked with KanMX,NA,NA,NA
S000004641-KanMX,ccs1,Disruption marked with KanMX,NA,NA,NA
