"allele_id","item_id"
"S000004605-KanMX","rec20578"
"S000004605","rec20578"
"S000004607-KanMX","rec20580"
"S000004607","rec20580"
"S000004608-KanMX","rec20581"
"S000004608","rec20581"
"S000004609-KanMX","rec20582"
"S000004609","rec20582"
"S000004610-KanMX","rec20583"
"S000004610","rec20583"
"S000004611-KanMX","rec20584"
"S000004611","rec20584"
"S000004612-KanMX","rec20585"
"S000004612","rec20585"
"S000004613-KanMX","rec20586"
"S000004613","rec20586"
"S000004614-KanMX","rec20587"
"S000004614","rec20587"
"S000004615-KanMX","rec20588"
"S000004615","rec20588"
"S000004616-KanMX","rec20589"
"S000004616","rec20589"
"S000004617-KanMX","rec20590"
"S000004617","rec20590"
"S000004618-KanMX","rec20591"
"S000004618","rec20591"
"S000004619-KanMX","rec20592"
"S000004619","rec20592"
"S000004620-KanMX","rec20593"
"S000004620","rec20593"
"S000004621-KanMX","rec20594"
"S000004621","rec20594"
"S000004622-KanMX","rec20595"
"S000004622","rec20595"
"S000004623-KanMX","rec20596"
"S000004623","rec20596"
"S000004624-KanMX","rec20597"
"S000004624","rec20597"
"S000004625-KanMX","rec20598"
"S000004625","rec20598"
"S000004626-KanMX","rec20599"
"S000004626","rec20599"
"S000004627-KanMX","rec20600"
"S000004627","rec20600"
"S000004628-KanMX","rec20601"
"S000004628","rec20601"
"S000004629-KanMX","rec20602"
"S000004629","rec20602"
"S000004630-KanMX","rec20603"
"S000004630","rec20603"
"S000004631-KanMX","rec20604"
"S000004631","rec20604"
"S000004632-KanMX","rec20605"
"S000004632","rec20605"
"S000004634-KanMX","rec20606"
"S000004634","rec20606"
"S000004633-KanMX","rec20607"
"S000004633","rec20607"
"S000004635-KanMX","rec20608"
"S000004635","rec20608"
"S000004636-KanMX","rec20609"
"S000004636","rec20609"
"S000004637-KanMX","rec20610"
"S000004637","rec20610"
"S000004638-KanMX","rec20611"
"S000004638","rec20611"
"S000004639-KanMX","rec20612"
"S000004639","rec20612"
"S000004641-KanMX","rec20614"
"S000004641","rec20614"
"S000004642-KanMX","rec20615"
"S000004642","rec20615"
"S000004643-KanMX","rec20616"
"S000004643","rec20616"
"S000004644-KanMX","rec20617"
"S000004644","rec20617"
"S000004645-KanMX","rec20618"
"S000004645","rec20618"
"S000004646-KanMX","rec20619"
"S000004646","rec20619"
"S000004647-KanMX","rec20620"
"S000004647","rec20620"
"S000004650-KanMX","rec20623"
"S000004650","rec20623"
"S000004748-KanMX","rec20721"
"S000004748","rec20721"
"S000004749-KanMX","rec20722"
"S000004749","rec20722"
"S000004751-KanMX","rec20724"
"S000004751","rec20724"
"S000004752-KanMX","rec20725"
"S000004752","rec20725"
"S000004753-KanMX","rec20726"
"S000004753","rec20726"
"S000004754-KanMX","rec20727"
"S000004754","rec20727"
"S000004755-KanMX","rec20728"
"S000004755","rec20728"
"S000004756-KanMX","rec20729"
"S000004756","rec20729"
"S000004757-KanMX","rec20730"
"S000004757","rec20730"
"S000004759-KanMX","rec20731"
"S000004759","rec20731"
"S000004758-KanMX","rec20732"
"S000004758","rec20732"
"S000004760-KanMX","rec20733"
"S000004760","rec20733"
"S000004762-KanMX","rec20734"
"S000004762","rec20734"
"S000004761-KanMX","rec20735"
"S000004761","rec20735"
"S000004764-KanMX","rec20737"
"S000004764","rec20737"
"S000004765-KanMX","rec20738"
"S000004765","rec20738"
"S000004766-KanMX","rec20739"
"S000004766","rec20739"
"S000004768-KanMX","rec20741"
"S000004768","rec20741"
"S000004769-KanMX","rec20742"
"S000004769","rec20742"
"S000004770-KanMX","rec20743"
"S000004770","rec20743"
"S000004771-KanMX","rec20744"
"S000004771","rec20744"
"S000004772-KanMX","rec20745"
"S000004772","rec20745"
"S000004773-KanMX","rec20746"
"S000004773","rec20746"
"S000004774-KanMX","rec20747"
"S000004774","rec20747"
"S000004775-KanMX","rec20748"
"S000004775","rec20748"
"S000004776-KanMX","rec20749"
"S000004776","rec20749"
"S000004777-KanMX","rec20750"
"S000004777","rec20750"
"S000004778-KanMX","rec20751"
"S000004778","rec20751"
"S000004779-KanMX","rec20752"
"S000004779","rec20752"
"S000004780-KanMX","rec20753"
"S000004780","rec20753"
"S000004782-KanMX","rec20756"
"S000004782","rec20756"
"S000004784-KanMX","rec20757"
"S000004784","rec20757"
"S000004785-KanMX","rec20758"
"S000004785","rec20758"
"S000004786-KanMX","rec20759"
"S000004786","rec20759"
"S000004787-KanMX","rec20760"
"S000004787","rec20760"
"S000004788-KanMX","rec20761"
"S000004788","rec20761"
"S000004789-KanMX","rec20762"
"S000004789","rec20762"
"S000004790-KanMX","rec20763"
"S000004790","rec20763"
"S000004791-KanMX","rec20764"
"S000004791","rec20764"
"S000004792-KanMX","rec20765"
"S000004792","rec20765"
"S000004794-KanMX","rec20767"
"S000004794","rec20767"
"S000004795-KanMX","rec20768"
"S000004795","rec20768"
"S000004796-KanMX","rec20769"
"S000004796","rec20769"
"S000004797-KanMX","rec20770"
"S000004797","rec20770"
"S000004798-KanMX","rec20771"
"S000004798","rec20771"
"S000004799-KanMX","rec20772"
"S000004799","rec20772"
"S000004800-KanMX","rec20773"
"S000004800","rec20773"
"S000004801-KanMX","rec20774"
"S000004801","rec20774"
"S000004802-KanMX","rec20775"
"S000004802","rec20775"
"S000004803-KanMX","rec20776"
"S000004803","rec20776"
"S000004804-KanMX","rec20777"
"S000004804","rec20777"
"S000004806-KanMX","rec20778"
"S000004806","rec20778"
"S000004807-KanMX","rec20779"
"S000004807","rec20779"
"S000004805-KanMX","rec20780"
"S000004805","rec20780"
"S000004808-KanMX","rec20781"
"S000004808","rec20781"
"S000004809-KanMX","rec20782"
"S000004809","rec20782"
"S000004810-KanMX","rec20783"
"S000004810","rec20783"
"S000004811-KanMX","rec20784"
"S000004811","rec20784"
"S000004812-KanMX","rec20785"
"S000004812","rec20785"
"S000004813-KanMX","rec20786"
"S000004813","rec20786"
"S000004814-KanMX","rec20787"
"S000004814","rec20787"
"S000004815-KanMX","rec20788"
"S000004815","rec20788"
"S000004816-KanMX","rec20789"
"S000004816","rec20789"
"S000004817-KanMX","rec20790"
"S000004817","rec20790"
"S000004818-KanMX","rec20791"
"S000004818","rec20791"
"S000004819-KanMX","rec20792"
"S000004819","rec20792"
"S000004820-KanMX","rec20793"
"S000004820","rec20793"
"S000004821-KanMX","rec20794"
"S000004821","rec20794"
"S000004823-KanMX","rec20796"
"S000004823","rec20796"
"S000004824-KanMX","rec20797"
"S000004824","rec20797"
"S000004826-KanMX","rec20799"
"S000004826","rec20799"
"S000004827-KanMX","rec20800"
"S000004827","rec20800"
"S000004828-KanMX","rec20801"
"S000004828","rec20801"
"S000004829-KanMX","rec20802"
"S000004829","rec20802"
"S000004830-KanMX","rec20803"
"S000004830","rec20803"
"S000004831-KanMX","rec20804"
"S000004831","rec20804"
"S000004832-KanMX","rec20805"
"S000004832","rec20805"
"S000004833-KanMX","rec20806"
"S000004833","rec20806"
"S000004834-KanMX","rec20807"
"S000004834","rec20807"
"S000004835-KanMX","rec20808"
"S000004835","rec20808"
"S000004836-KanMX","rec20809"
"S000004836","rec20809"
"S000004837-KanMX","rec20810"
"S000004837","rec20810"
"S000004838-KanMX","rec20811"
"S000004838","rec20811"
"S000004839-KanMX","rec20812"
"S000004839","rec20812"
"S000004840-KanMX","rec20813"
"S000004840","rec20813"
"S000004841-KanMX","rec20814"
"S000004841","rec20814"
"S000004842-KanMX","rec20815"
"S000004842","rec20815"
"S000004843-KanMX","rec20816"
"S000004843","rec20816"
"S000004844-KanMX","rec20817"
"S000004844","rec20817"
"S000004845-KanMX","rec20818"
"S000004845","rec20818"
"S000004846-KanMX","rec20819"
"S000004846","rec20819"
"S000004847-KanMX","rec20820"
"S000004847","rec20820"
"S000004848-KanMX","rec20821"
"S000004848","rec20821"
"S000004849-KanMX","rec20822"
"S000004849","rec20822"
"S000004850-KanMX","rec20823"
"S000004850","rec20823"
"S000004851-KanMX","rec20824"
"S000004851","rec20824"
"S000004852-KanMX","rec20825"
"S000004852","rec20825"
"S000004853-KanMX","rec20826"
"S000004853","rec20826"
"S000004854-KanMX","rec20827"
"S000004854","rec20827"
"S000004855-KanMX","rec20828"
"S000004855","rec20828"
"S000004856-KanMX","rec20829"
"S000004856","rec20829"
"S000004858-KanMX","rec20830"
"S000004858","rec20830"
"S000004859-KanMX","rec20831"
"S000004859","rec20831"
"S000004857-KanMX","rec20832"
"S000004857","rec20832"
"S000004860-KanMX","rec20833"
"S000004860","rec20833"
"S000004861-KanMX","rec20834"
"S000004861","rec20834"
"S000004862-KanMX","rec20835"
"S000004862","rec20835"
"S000004863-KanMX","rec20836"
"S000004863","rec20836"
"S000004864-KanMX","rec20837"
"S000004864","rec20837"
"S000004865-KanMX","rec20838"
"S000004865","rec20838"
"S000004866-KanMX","rec20839"
"S000004866","rec20839"
"S000004867-KanMX","rec20840"
"S000004867","rec20840"
"S000004868-KanMX","rec20841"
"S000004868","rec20841"
"S000004869-KanMX","rec20842"
"S000004869","rec20842"
"S000004870-KanMX","rec20843"
"S000004870","rec20843"
"S000004871-KanMX","rec20844"
"S000004871","rec20844"
"S000004872-KanMX","rec20845"
"S000004872","rec20845"
"S000004873-KanMX","rec20846"
"S000004873","rec20846"
"S000004874-KanMX","rec20847"
"S000004874","rec20847"
"S000004875-KanMX","rec20848"
"S000004875","rec20848"
"S000004876-KanMX","rec20849"
"S000004876","rec20849"
"S000004877-KanMX","rec20850"
"S000004877","rec20850"
"S000004878-KanMX","rec20851"
"S000004878","rec20851"
"S000004879-KanMX","rec20852"
"S000004879","rec20852"
"S000004880-KanMX","rec20853"
"S000004880","rec20853"
"S000004881-KanMX","rec20854"
"S000004881","rec20854"
"S000004882-KanMX","rec20855"
"S000004882","rec20855"
"S000004883-KanMX","rec20856"
"S000004883","rec20856"
"S000004885-KanMX","rec20858"
"S000004885","rec20858"
"S000004886-KanMX","rec20859"
"S000004886","rec20859"
"S000004887-KanMX","rec20860"
"S000004887","rec20860"
"S000004888-KanMX","rec20861"
"S000004888","rec20861"
"S000004889-KanMX","rec20862"
"S000004889","rec20862"
"S000004890-KanMX","rec20863"
"S000004890","rec20863"
"S000004891-KanMX","rec20864"
"S000004891","rec20864"
"S000004893-KanMX","rec20866"
